NumberOfRvaAndSizes,BaseOfCode,MajorImageVersion,SizeOfHeapReserve,MajorOperatingSystemVersion,SectionsNb,ImportsNbOrdinal,ResourcesMinEntropy,ImportsNb,MinorImageVersion,LoaderFlags,SizeOfOptionalHeader,MinorLinkerVersion,SizeOfUninitializedData,VersionInformationSize,ExportNb,SectionsMinEntropy,MinorOperatingSystemVersion,Subsystem,SectionsMinVirtualsize,ResourcesMaxEntropy,ResourcesMaxSize,ResourcesNb,LoadConfigurationSize,SectionsMaxRawsize,SectionsMeanEntropy,SectionMaxVirtualsize,SizeOfInitializedData,SizeOfImage,MajorLinkerVersion,Machine,SectionsMinRawsize,FileAlignment,ResourcesMinSize,AddressOfEntryPoint,SectionAlignment,Characteristics,BaseOfData,SizeOfCode,SizeOfHeaders,CheckSum,SizeOfStackReserve,SizeOfHeapCommit,ResourcesMeanEntropy,MinorSubsystemVersion,ImportsNbDLL,ResourcesMeanSize,DllCharacteristics,SectionsMaxEntropy,SectionsMeanRawsize,ImageBase,SizeOfStackCommit,SectionsMeanVirtualsize,MajorSubsystemVersion
16,4096,6,1048576,6,1,0,3.577072986399457,0,1,0,224,0,0,0,0,3.4214319825637824,1,3,1016,3.577072986399457,920,1,0,1024,3.4214319825637824,1016,1024,8192,9,332,1024,512,920,0,4096,8450,4096,0,512,18088,262144,4096,3.577072986399457,1,0,920.0,1344,3.4214319825637824,1024.0,4194304,4096,1016.0,6
16,4096,0,1048576,4,4,4,2.3896427232988815,312,0,0,224,10,0,0,0,2.41407037049444,0,2,11968,4.842334956063607,1640,20,72,376832,4.77433988877273,376705,159744,540672,7,332,8192,4096,90,348400,4096,271,380928,376832,4096,564231,1048576,4096,3.184256185352423,0,11,541.2,0,6.678270450062978,130048.0,4194304,4096,132863.75,4
